TP DK USD S YTL,TP DK EUR S YTL,TP DK GBP S YTL,TP DK SEK S YTL,TP DK CHF S YTL,TP DK CAD S YTL,TP DK KWD S YTL,TP DK SAR S YTL
1.50,2.22,2.45,0.21,1.47,1.42,5.26,0.40
1.50,2.22,2.45,0.21,1.47,1.42,5.27,0.40
1.50,2.21,2.45,0.21,1.46,1.42,5.27,0.40
1.49,2.20,2.44,0.21,1.46,1.42,5.24,0.40
1.50,2.20,2.44,0.21,1.46,1.41,5.27,0.40
1.51,2.20,2.45,0.21,1.45,1.42,5.29,0.40
1.51,2.20,2.46,0.21,1.45,1.42,5.28,0.40
1.52,2.18,2.45,0.21,1.45,1.42,5.30,0.40
1.52,2.18,2.46,0.21,1.46,1.42,5.30,0.40
1.52,2.18,2.46,0.21,1.46,1.43,5.32,0.41
1.53,2.18,2.45,0.21,1.46,1.44,5.32,0.41
1.53,2.18,2.43,0.21,1.46,1.45,5.31,0.41
1.51,2.18,2.42,0.21,1.46,1.45,5.28,0.40
1.51,2.18,2.41,0.21,1.46,1.44,5.27,0.40
1.51,2.18,2.42,0.21,1.46,1.44,5.28,0.40
1.51,2.18,2.42,0.21,1.47,1.45,5.26,0.40
1.51,2.17,2.40,0.21,1.46,1.44,5.27,0.40
1.49,2.15,2.42,0.21,1.45,1.42,5.21,0.40
1.49,2.14,2.41,0.21,1.44,1.43,5.19,0.40
1.47,2.13,2.36,0.21,1.43,1.42,5.14,0.39
1.48,2.12,2.36,0.21,1.43,1.42,5.15,0.39
1.48,2.12,2.35,0.21,1.43,1.43,5.15,0.39
1.47,2.11,2.36,0.21,1.42,1.42,5.12,0.39
1.46,2.11,2.35,0.21,1.43,1.42,5.09,0.39
1.46,2.11,2.35,0.21,1.43,1.41,5.08,0.39
1.45,2.11,2.36,0.21,1.43,1.40,5.07,0.39
1.46,2.11,2.37,0.21,1.43,1.41,5.09,0.39
1.46,2.10,2.38,0.21,1.42,1.42,5.10,0.39
1.45,2.09,2.38,0.21,1.42,1.42,5.08,0.39
1.46,2.09,2.39,0.21,1.42,1.42,5.09,0.39
1.46,2.08,2.38,0.21,1.41,1.41,5.10,0.39
1.48,2.08,2.39,0.20,1.41,1.41,5.14,0.39
1.48,2.10,2.41,0.21,1.43,1.41,5.17,0.40
1.49,2.10,2.40,0.21,1.43,1.41,5.18,0.40
1.50,2.11,2.42,0.21,1.44,1.41,5.23,0.40
1.49,2.10,2.42,0.20,1.43,1.40,5.20,0.40
1.49,2.09,2.43,0.20,1.42,1.41,5.20,0.40
1.49,2.08,2.41,0.20,1.42,1.40,5.19,0.40
1.49,2.07,2.37,0.20,1.41,1.39,5.18,0.40
1.48,2.07,2.37,0.20,1.41,1.40,5.16,0.40
1.48,2.07,2.37,0.21,1.41,1.40,5.16,0.40
1.50,2.07,2.38,0.20,1.41,1.41,5.20,0.40
1.52,2.08,2.39,0.20,1.42,1.41,5.28,0.41
1.52,2.08,2.37,0.21,1.42,1.42,5.28,0.41
1.51,2.08,2.36,0.21,1.42,1.41,5.25,0.40
1.51,2.08,2.37,0.21,1.42,1.42,5.24,0.40
1.51,2.08,2.36,0.21,1.42,1.43,5.25,0.40
1.52,2.06,2.37,0.21,1.41,1.44,5.26,0.40
1.52,2.06,2.38,0.21,1.41,1.44,5.25,0.40
1.51,2.06,2.37,0.21,1.41,1.45,5.24,0.40
1.51,2.07,2.37,0.21,1.41,1.44,5.23,0.40
1.52,2.06,2.37,0.21,1.41,1.45,5.26,0.41
1.52,2.06,2.35,0.21,1.40,1.45,5.28,0.41
1.52,2.06,2.35,0.21,1.41,1.46,5.26,0.40
1.53,2.09,2.37,0.21,1.42,1.47,5.31,0.41
1.55,2.09,2.39,0.21,1.43,1.46,5.35,0.41
1.55,2.09,2.37,0.21,1.43,1.46,5.36,0.41
1.54,2.10,2.35,0.22,1.43,1.46,5.35,0.41
1.54,2.10,2.32,0.22,1.43,1.47,5.34,0.41
1.54,2.08,2.30,0.21,1.42,1.48,5.32,0.41
1.54,2.10,2.31,0.21,1.43,1.49,5.34,0.41
1.55,2.11,2.33,0.22,1.44,1.50,5.36,0.41
1.55,2.10,2.32,0.22,1.43,1.50,5.36,0.41
1.53,2.09,2.32,0.22,1.43,1.49,5.31,0.41
1.54,2.09,2.30,0.21,1.43,1.50,5.33,0.41
1.54,2.09,2.30,0.22,1.43,1.50,5.33,0.41
1.54,2.10,2.31,0.22,1.44,1.50,5.32,0.41
1.53,2.10,2.31,0.22,1.44,1.50,5.29,0.41
1.53,2.10,2.30,0.22,1.44,1.50,5.30,0.41
1.53,2.09,2.31,0.22,1.44,1.50,5.30,0.41
1.52,2.09,2.32,0.21,1.44,1.50,5.27,0.40
1.52,2.08,2.33,0.21,1.44,1.51,5.29,0.41
1.53,2.08,2.32,0.21,1.45,1.51,5.32,0.41
1.55,2.09,2.32,0.21,1.46,1.52,5.35,0.41
1.54,2.09,2.32,0.21,1.46,1.51,5.35,0.41
1.54,2.06,2.31,0.21,1.44,1.51,5.33,0.41
1.54,2.06,2.30,0.21,1.44,1.51,5.33,0.41
1.53,2.05,2.28,0.21,1.44,1.50,5.31,0.41
1.53,2.06,2.29,0.21,1.44,1.50,5.30,0.41
1.53,2.06,2.30,0.21,1.44,1.50,5.29,0.41
1.52,2.05,2.30,0.21,1.43,1.50,5.27,0.41
1.52,2.05,2.31,0.21,1.44,1.50,5.25,0.40
1.52,2.06,2.32,0.21,1.44,1.50,5.26,0.40
1.52,2.04,2.31,0.21,1.43,1.51,5.25,0.40
1.51,2.03,2.29,0.21,1.42,1.51,5.23,0.40
1.50,2.01,2.28,0.21,1.40,1.50,5.20,0.40
1.50,2.00,2.29,0.21,1.40,1.49,5.21,0.40
1.49,2.00,2.29,0.21,1.39,1.49,5.16,0.40
1.49,2.02,2.29,0.21,1.40,1.48,5.17,0.40
1.49,2.03,2.30,0.21,1.41,1.49,5.19,0.40
1.48,2.02,2.28,0.21,1.40,1.48,5.15,0.39
1.48,2.01,2.28,0.21,1.40,1.48,5.14,0.39
1.48,2.00,2.28,0.21,1.39,1.47,5.13,0.39
1.49,2.01,2.28,0.21,1.40,1.47,5.19,0.40
1.49,2.01,2.29,0.21,1.40,1.47,5.17,0.40
1.48,1.99,2.28,0.21,1.39,1.49,5.15,0.40
1.48,1.98,2.28,0.21,1.38,1.48,5.14,0.40
1.48,1.97,2.28,0.21,1.37,1.48,5.12,0.39
1.48,1.98,2.28,0.21,1.38,1.48,5.14,0.40
1.51,1.99,2.29,0.21,1.39,1.48,5.21,0.40
1.49,1.97,2.27,0.20,1.37,1.48,5.15,0.40
1.48,1.97,2.27,0.21,1.37,1.47,5.13,0.39
1.49,1.98,2.28,0.21,1.38,1.47,5.17,0.40
1.50,1.97,2.28,0.21,1.37,1.48,5.18,0.40
1.52,1.96,2.30,0.20,1.37,1.48,5.24,0.40
1.54,1.96,2.31,0.20,1.38,1.49,5.30,0.41
1.57,2.00,2.30,0.20,1.41,1.50,5.41,0.42
1.52,1.98,2.27,0.20,1.38,1.48,5.25,0.41
1.54,1.95,2.27,0.20,1.38,1.50,5.30,0.41
1.53,1.94,2.29,0.20,1.38,1.50,5.28,0.41
1.52,1.91,2.25,0.20,1.36,1.50,5.24,0.40
1.53,1.91,2.23,0.20,1.36,1.49,5.28,0.41
1.54,1.90,2.23,0.20,1.36,1.49,5.30,0.41
1.54,1.91,2.22,0.20,1.36,1.49,5.28,0.41
1.58,1.95,2.26,0.20,1.37,1.50,5.43,0.42
1.58,1.98,2.28,0.20,1.38,1.48,5.45,0.42
1.57,1.95,2.27,0.20,1.36,1.48,5.41,0.42
1.59,1.95,2.28,0.20,1.37,1.48,5.48,0.43
1.58,1.95,2.28,0.20,1.37,1.48,5.43,0.42
1.57,1.92,2.28,0.20,1.36,1.49,5.39,0.42
1.56,1.93,2.27,0.20,1.35,1.49,5.36,0.42
1.57,1.94,2.28,0.20,1.36,1.50,5.41,0.42
1.59,1.93,2.30,0.20,1.36,1.51,5.45,0.42
1.58,1.93,2.32,0.20,1.37,1.50,5.43,0.42
1.57,1.93,2.31,0.20,1.36,1.52,5.40,0.42
1.58,1.93,2.32,0.20,1.37,1.52,5.44,0.42
1.60,1.91,2.31,0.20,1.38,1.51,5.48,0.43
1.61,1.92,2.32,0.20,1.39,1.52,5.49,0.43
1.60,1.92,2.32,0.20,1.39,1.53,5.48,0.43
1.60,1.92,2.33,0.20,1.39,1.54,5.47,0.43
1.58,1.92,2.32,0.20,1.38,1.53,5.42,0.42
1.57,1.92,2.31,0.20,1.38,1.52,5.38,0.42
1.58,1.93,2.32,0.20,1.38,1.53,5.41,0.42
1.57,1.93,2.32,0.20,1.39,1.52,5.37,0.42
1.56,1.93,2.31,0.20,1.40,1.53,5.36,0.42
1.56,1.93,2.31,0.20,1.40,1.51,5.35,0.42
1.55,1.92,2.31,0.20,1.40,1.53,5.33,0.41
1.56,1.92,2.30,0.20,1.41,1.53,5.36,0.42
1.57,1.92,2.33,0.20,1.41,1.52,5.37,0.42
1.58,1.94,2.36,0.20,1.43,1.52,5.43,0.42
1.58,1.95,2.36,0.20,1.44,1.52,5.43,0.42
1.57,1.94,2.37,0.20,1.45,1.52,5.40,0.42
1.58,1.93,2.38,0.20,1.45,1.51,5.43,0.42
1.58,1.94,2.38,0.20,1.46,1.51,5.44,0.42
1.58,1.95,2.37,0.20,1.48,1.49,5.44,0.42
1.58,1.97,2.39,0.21,1.48,1.49,5.42,0.42
1.57,1.96,2.37,0.20,1.47,1.47,5.39,0.42
1.56,1.96,2.37,0.20,1.47,1.47,5.37,0.42
1.56,1.96,2.36,0.20,1.47,1.47,5.38,0.42
1.55,1.96,2.35,0.21,1.47,1.48,5.36,0.41
1.55,1.96,2.35,0.21,1.47,1.49,5.35,0.41
1.56,1.96,2.34,0.21,1.46,1.51,5.37,0.42
1.56,1.96,2.35,0.21,1.47,1.51,5.37,0.42
1.54,1.96,2.35,0.21,1.46,1.49,5.33,0.41
1.54,1.97,2.36,0.21,1.47,1.49,5.32,0.41
1.53,1.99,2.36,0.21,1.47,1.47,5.30,0.41
1.54,2.00,2.36,0.21,1.47,1.46,5.34,0.41
1.54,1.99,2.34,0.21,1.46,1.46,5.32,0.41
1.53,1.96,2.33,0.21,1.45,1.47,5.29,0.41
1.53,1.96,2.33,0.21,1.46,1.46,5.29,0.41
1.52,1.96,2.34,0.21,1.46,1.46,5.27,0.41
1.52,1.96,2.35,0.21,1.44,1.47,5.27,0.41
1.51,1.97,2.35,0.21,1.43,1.47,5.26,0.40
1.51,1.96,2.36,0.21,1.43,1.46,5.25,0.40
1.51,1.97,2.36,0.21,1.44,1.46,5.25,0.40
1.51,1.97,2.36,0.21,1.45,1.46,5.25,0.40
1.50,1.96,2.37,0.21,1.43,1.46,5.22,0.40
1.49,1.98,2.38,0.21,1.44,1.46,5.21,0.40
1.50,1.98,2.39,0.21,1.44,1.47,5.24,0.40
1.50,1.98,2.39,0.21,1.43,1.48,5.24,0.40
1.50,1.97,2.38,0.21,1.43,1.47,5.23,0.40
1.49,1.98,2.37,0.21,1.43,1.45,5.20,0.40
1.50,1.97,2.36,0.21,1.42,1.45,5.22,0.40
1.51,1.97,2.38,0.21,1.43,1.46,5.26,0.40
1.52,1.96,2.38,0.21,1.44,1.45,5.29,0.41
1.51,1.94,2.36,0.20,1.44,1.46,5.26,0.40
1.51,1.94,2.36,0.20,1.45,1.45,5.25,0.40
1.50,1.93,2.35,0.20,1.44,1.44,5.22,0.40
1.50,1.93,2.34,0.20,1.44,1.45,5.21,0.40
1.50,1.93,2.34,0.20,1.44,1.46,5.21,0.40
1.51,1.93,2.35,0.20,1.46,1.45,5.25,0.40
1.52,1.93,2.36,0.21,1.47,1.45,5.26,0.40
1.53,1.93,2.36,0.21,1.47,1.45,5.31,0.41
1.53,1.93,2.35,0.20,1.48,1.44,5.29,0.41
1.52,1.94,2.37,0.21,1.48,1.44,5.29,0.41
1.52,1.94,2.36,0.21,1.49,1.44,5.28,0.41
1.53,1.94,2.35,0.21,1.50,1.44,5.30,0.41
1.52,1.95,2.34,0.21,1.50,1.44,5.29,0.41
1.51,1.94,2.33,0.21,1.49,1.44,5.25,0.40
1.51,1.93,2.32,0.21,1.48,1.43,5.24,0.40
1.50,1.93,2.31,0.21,1.48,1.45,5.22,0.40
1.51,1.93,2.32,0.21,1.49,1.45,5.25,0.40
1.51,1.93,2.32,0.21,1.49,1.45,5.25,0.40
1.50,1.92,2.31,0.21,1.47,1.45,5.19,0.40
1.50,1.93,2.31,0.21,1.49,1.46,5.21,0.40
1.49,1.94,2.32,0.21,1.49,1.45,5.20,0.40
1.49,1.95,2.33,0.21,1.49,1.46,5.20,0.40
1.50,1.96,2.35,0.21,1.47,1.46,5.21,0.40
1.50,1.96,2.33,0.21,1.49,1.45,5.21,0.40
1.49,1.96,2.32,0.21,1.49,1.45,5.20,0.40
1.48,1.98,2.33,0.22,1.50,1.45,5.19,0.40
1.49,1.98,2.33,0.22,1.51,1.44,5.21,0.40
1.49,1.99,2.33,0.22,1.51,1.44,5.20,0.40
1.48,1.99,2.34,0.22,1.50,1.44,5.17,0.39
1.47,1.98,2.33,0.21,1.50,1.43,5.17,0.39
1.46,1.98,2.31,0.22,1.49,1.42,5.12,0.39
1.45,1.98,2.30,0.22,1.49,1.41,5.09,0.39
1.45,1.98,2.29,0.22,1.48,1.41,5.08,0.39
1.45,1.98,2.28,0.21,1.48,1.42,5.09,0.39
1.45,1.99,2.30,0.22,1.50,1.42,5.10,0.39
1.42,1.97,2.26,0.21,1.47,1.40,5.02,0.38
1.42,1.98,2.26,0.21,1.48,1.40,5.02,0.38
1.43,1.98,2.26,0.21,1.48,1.40,5.04,0.38
1.41,1.97,2.25,0.21,1.47,1.40,4.99,0.38
1.42,1.97,2.26,0.21,1.47,1.40,5.04,0.38
1.41,1.97,2.24,0.21,1.48,1.40,5.00,0.38
1.40,1.97,2.24,0.21,1.47,1.40,4.97,0.37
1.41,1.98,2.26,0.21,1.47,1.40,5.00,0.37
1.42,1.98,2.26,0.21,1.48,1.40,5.05,0.38
1.42,1.98,2.25,0.21,1.48,1.39,5.04,0.38
1.43,1.98,2.25,0.21,1.48,1.39,5.06,0.38
1.42,1.99,2.24,0.21,1.47,1.39,5.04,0.38
1.43,1.99,2.24,0.21,1.47,1.39,5.07,0.38
1.41,1.99,2.23,0.22,1.46,1.39,5.03,0.38
1.42,1.98,2.25,0.21,1.46,1.39,5.05,0.38
1.44,1.98,2.27,0.21,1.45,1.40,5.10,0.38
1.44,1.98,2.27,0.21,1.45,1.40,5.10,0.38
1.43,1.99,2.29,0.21,1.44,1.40,5.08,0.38
1.42,1.98,2.27,0.21,1.44,1.40,5.05,0.38
1.41,1.98,2.27,0.21,1.44,1.40,5.02,0.38
1.40,1.99,2.26,0.21,1.44,1.39,4.99,0.37
1.40,1.98,2.27,0.21,1.46,1.39,4.99,0.37
1.41,1.96,2.28,0.21,1.46,1.40,5.03,0.38
1.41,1.96,2.28,0.21,1.47,1.41,5.03,0.38
1.41,1.95,2.27,0.21,1.45,1.41,5.04,0.38
1.42,1.95,2.29,0.21,1.46,1.42,5.06,0.38
1.43,1.96,2.31,0.21,1.47,1.42,5.11,0.38
1.43,1.96,2.31,0.21,1.47,1.42,5.11,0.38
1.44,1.98,2.31,0.21,1.46,1.42,5.14,0.38
1.46,1.98,2.33,0.21,1.48,1.43,5.21,0.39
1.48,1.98,2.34,0.21,1.49,1.46,5.28,0.40
1.48,1.97,2.33,0.21,1.48,1.46,5.24,0.39
1.49,1.97,2.34,0.21,1.49,1.46,5.28,0.40
1.49,1.97,2.33,0.21,1.49,1.46,5.29,0.40
1.51,1.96,2.34,0.21,1.51,1.47,5.33,0.40
1.50,1.96,2.34,0.21,1.49,1.47,5.29,0.40
1.49,1.96,2.32,0.21,1.49,1.47,5.27,0.40
1.48,1.96,2.32,0.21,1.49,1.48,5.25,0.39
1.48,1.97,2.33,0.22,1.51,1.48,5.27,0.40
1.48,1.97,2.33,0.22,1.51,1.47,5.24,0.39
1.49,1.97,2.35,0.22,1.51,1.47,5.27,0.40
1.50,1.98,2.36,0.22,1.52,1.48,5.31,0.40
1.50,1.99,2.38,0.22,1.53,1.49,5.32,0.40
1.51,1.99,2.37,0.22,1.54,1.49,5.33,0.40
1.50,2.02,2.38,0.22,1.56,1.49,5.33,0.40
1.52,2.02,2.38,0.22,1.58,1.51,5.39,0.40
1.52,2.02,2.38,0.22,1.57,1.52,5.40,0.41
1.53,2.03,2.38,0.22,1.59,1.52,5.41,0.41
1.55,2.04,2.42,0.23,1.61,1.53,5.50,0.41
1.56,2.05,2.41,0.23,1.62,1.53,5.51,0.42
1.55,2.04,2.40,0.23,1.63,1.53,5.49,0.41
1.55,2.03,2.39,0.23,1.62,1.53,5.49,0.41
1.55,2.03,2.39,0.23,1.61,1.54,5.47,0.41
1.55,2.04,2.39,0.23,1.61,1.54,5.48,0.41
1.55,2.05,2.39,0.23,1.63,1.55,5.50,0.41
1.56,2.05,2.41,0.23,1.64,1.56,5.54,0.42
1.55,2.06,2.40,0.23,1.65,1.55,5.51,0.41
1.55,2.07,2.40,0.23,1.65,1.55,5.49,0.41
1.56,2.07,2.41,0.23,1.66,1.57,5.53,0.41
1.55,2.08,2.42,0.23,1.65,1.56,5.53,0.41
1.55,2.05,2.41,0.23,1.62,1.55,5.50,0.41
1.55,2.03,2.40,0.23,1.60,1.56,5.49,0.41
1.56,2.03,2.42,0.23,1.62,1.57,5.54,0.42
1.59,2.05,2.46,0.23,1.64,1.59,5.61,0.42
1.58,2.04,2.45,0.23,1.63,1.59,5.59,0.42
1.56,2.05,2.46,0.23,1.60,1.58,5.53,0.42
1.55,2.07,2.46,0.23,1.61,1.56,5.52,0.41
1.55,2.06,2.46,0.23,1.60,1.57,5.52,0.41
1.53,2.05,2.45,0.23,1.60,1.56,5.46,0.41
1.54,2.07,2.46,0.23,1.60,1.55,5.49,0.41
1.56,2.10,2.49,0.24,1.63,1.56,5.57,0.42
1.58,2.13,2.51,0.24,1.64,1.58,5.62,0.42
1.57,2.13,2.51,0.24,1.64,1.58,5.61,0.42
1.56,2.13,2.47,0.24,1.65,1.57,5.58,0.42
1.57,2.16,2.49,0.24,1.67,1.58,5.63,0.42
1.58,2.16,2.51,0.24,1.67,1.58,5.63,0.42
1.59,2.18,2.53,0.25,1.68,1.60,5.69,0.42
1.61,2.19,2.55,0.25,1.70,1.61,5.73,0.43
1.59,2.18,2.56,0.25,1.69,1.59,5.68,0.42
1.58,2.18,2.56,0.25,1.69,1.60,5.66,0.42
1.58,2.18,2.57,0.25,1.68,1.60,5.67,0.42
1.60,2.18,2.58,0.25,1.69,1.62,5.72,0.43
1.58,2.14,2.54,0.24,1.65,1.60,5.63,0.42
1.57,2.15,2.54,0.24,1.65,1.59,5.63,0.42
1.59,2.17,2.55,0.25,1.65,1.60,5.67,0.42
1.60,2.18,2.57,0.25,1.66,1.60,5.71,0.43
1.60,2.16,2.56,0.24,1.64,1.60,5.70,0.43
1.59,2.14,2.55,0.24,1.64,1.61,5.67,0.42
1.60,2.16,2.57,0.25,1.65,1.62,5.69,0.43
1.59,2.15,2.56,0.25,1.64,1.61,5.67,0.42
1.58,2.14,2.54,0.24,1.65,1.60,5.63,0.42
1.58,2.15,2.56,0.25,1.66,1.61,5.64,0.42
1.58,2.16,2.57,0.25,1.67,1.61,5.66,0.42
1.60,2.18,2.59,0.25,1.70,1.62,5.72,0.43
1.59,2.19,2.59,0.25,1.70,1.61,5.70,0.42
1.61,2.21,2.60,0.25,1.74,1.63,5.77,0.43
1.60,2.21,2.57,0.25,1.72,1.63,5.73,0.43
1.60,2.21,2.59,0.25,1.73,1.64,5.75,0.43
1.61,2.22,2.62,0.25,1.73,1.65,5.77,0.43
1.62,2.23,2.63,0.26,1.75,1.66,5.81,0.43
1.61,2.23,2.62,0.26,1.74,1.66,5.80,0.43
1.60,2.23,2.60,0.25,1.72,1.64,5.75,0.43
1.60,2.24,2.61,0.25,1.73,1.65,5.77,0.43
1.59,2.22,2.58,0.25,1.71,1.64,5.73,0.42
1.59,2.21,2.57,0.25,1.71,1.64,5.70,0.42
1.58,2.19,2.56,0.25,1.70,1.63,5.69,0.42
1.59,2.19,2.54,0.25,1.70,1.63,5.71,0.42
1.58,2.20,2.54,0.25,1.70,1.62,5.68,0.42
1.58,2.20,2.54,0.25,1.72,1.60,5.69,0.42
1.58,2.21,2.55,0.25,1.73,1.61,5.70,0.42
1.59,2.22,2.56,0.25,1.76,1.61,5.72,0.42
1.58,2.23,2.56,0.25,1.75,1.61,5.71,0.42
1.58,2.23,2.57,0.25,1.74,1.61,5.69,0.42
1.57,2.23,2.57,0.25,1.74,1.61,5.67,0.42
1.56,2.21,2.54,0.25,1.73,1.59,5.64,0.42
1.55,2.19,2.52,0.25,1.71,1.59,5.61,0.41
1.55,2.19,2.50,0.24,1.70,1.59,5.59,0.41
1.56,2.19,2.49,0.24,1.69,1.59,5.60,0.41
1.56,2.20,2.50,0.25,1.70,1.60,5.63,0.42
1.56,2.19,2.50,0.25,1.69,1.60,5.60,0.41
1.54,2.19,2.49,0.25,1.69,1.59,5.57,0.41
1.54,2.18,2.48,0.24,1.67,1.59,5.56,0.41
1.54,2.18,2.48,0.24,1.66,1.59,5.54,0.41
1.53,2.18,2.49,0.24,1.66,1.59,5.53,0.41
1.52,2.18,2.48,0.24,1.66,1.59,5.50,0.41
1.52,2.17,2.47,0.24,1.65,1.58,5.47,0.40
1.50,2.17,2.46,0.24,1.64,1.57,5.43,0.40
1.51,2.19,2.47,0.24,1.66,1.58,5.47,0.40
1.52,2.19,2.47,0.24,1.68,1.59,5.49,0.40
1.51,2.20,2.47,0.24,1.69,1.58,5.48,0.40
1.52,2.20,2.49,0.24,1.70,1.58,5.50,0.41
1.52,2.20,2.48,0.24,1.70,1.58,5.49,0.41
1.52,2.18,2.48,0.24,1.70,1.58,5.51,0.41
1.53,2.19,2.50,0.25,1.71,1.60,5.54,0.41
1.52,2.20,2.49,0.25,1.70,1.60,5.50,0.41
1.52,2.22,2.51,0.25,1.72,1.60,5.49,0.40
1.52,2.21,2.51,0.25,1.71,1.59,5.50,0.40
1.52,2.22,2.51,0.25,1.72,1.60,5.52,0.41
1.53,2.23,2.52,0.25,1.74,1.60,5.55,0.41
1.52,2.23,2.52,0.25,1.74,1.60,5.53,0.41
1.52,2.25,2.53,0.25,1.74,1.60,5.52,0.40
1.52,2.26,2.54,0.25,1.75,1.60,5.54,0.41
1.52,2.25,2.54,0.25,1.75,1.60,5.54,0.41
1.53,2.26,2.53,0.25,1.77,1.61,5.57,0.41
1.54,2.29,2.54,0.25,1.78,1.61,5.59,0.41
1.54,2.29,2.55,0.25,1.80,1.60,5.63,0.41
1.54,2.24,2.53,0.25,1.77,1.60,5.61,0.41
1.54,2.22,2.52,0.25,1.76,1.60,5.60,0.41
1.56,2.24,2.55,0.25,1.77,1.62,5.66,0.42
1.57,2.26,2.59,0.25,1.79,1.65,5.72,0.42
1.59,2.25,2.59,0.25,1.79,1.64,5.76,0.42
1.58,2.26,2.57,0.25,1.79,1.64,5.74,0.42
1.59,2.25,2.58,0.25,1.79,1.64,5.77,0.43
1.59,2.25,2.58,0.25,1.79,1.63,5.74,0.42
1.58,2.25,2.56,0.25,1.80,1.63,5.73,0.42
1.58,2.26,2.57,0.25,1.80,1.63,5.73,0.42
1.61,2.25,2.59,0.25,1.82,1.64,5.81,0.43
1.60,2.25,2.58,0.25,1.82,1.64,5.79,0.43
1.60,2.26,2.60,0.25,1.83,1.64,5.81,0.43
1.60,2.27,2.61,0.25,1.84,1.64,5.79,0.43
1.61,2.29,2.64,0.26,1.88,1.65,5.82,0.43
1.60,2.29,2.64,0.26,1.88,1.64,5.82,0.43
1.59,2.30,2.63,0.26,1.87,1.64,5.79,0.42
1.59,2.29,2.61,0.26,1.88,1.64,5.78,0.42
1.59,2.30,2.60,0.26,1.89,1.63,5.79,0.42
1.58,2.30,2.59,0.26,1.88,1.62,5.76,0.42
1.58,2.31,2.59,0.26,1.89,1.61,5.76,0.42
1.58,2.32,2.60,0.26,1.90,1.62,5.76,0.42
1.59,2.32,2.60,0.26,1.90,1.62,5.78,0.42
1.58,2.31,2.60,0.26,1.88,1.61,5.76,0.42
1.58,2.28,2.57,0.25,1.87,1.62,5.75,0.42
1.57,2.26,2.56,0.25,1.87,1.61,5.73,0.42
1.58,2.28,2.59,0.25,1.88,1.62,5.75,0.42
1.60,2.29,2.60,0.25,1.88,1.65,5.81,0.43
1.62,2.28,2.60,0.25,1.90,1.64,5.86,0.43
1.60,2.28,2.59,0.25,1.89,1.63,5.83,0.43
1.61,2.29,2.60,0.25,1.90,1.64,5.86,0.43
1.60,2.30,2.60,0.25,1.90,1.64,5.84,0.43
1.61,2.32,2.61,0.25,1.92,1.66,5.88,0.43
1.63,2.32,2.60,0.25,1.93,1.67,5.92,0.43
1.63,2.32,2.61,0.25,1.95,1.66,5.93,0.43
1.64,2.33,2.62,0.25,1.97,1.66,5.98,0.44
1.64,2.34,2.62,0.25,1.97,1.66,5.97,0.44
1.64,2.36,2.62,0.26,1.97,1.68,5.96,0.44
1.62,2.35,2.60,0.26,1.95,1.68,5.90,0.43
1.62,2.34,2.59,0.26,1.91,1.68,5.89,0.43
1.61,2.34,2.60,0.26,1.90,1.68,5.88,0.43
1.63,2.35,2.61,0.26,1.92,1.69,5.93,0.43
1.63,2.34,2.61,0.26,1.94,1.69,5.95,0.44
1.64,2.34,2.61,0.26,1.94,1.70,5.96,0.44
1.62,2.32,2.59,0.26,1.91,1.69,5.91,0.43
1.64,2.32,2.62,0.25,1.96,1.70,5.97,0.44
1.65,2.30,2.62,0.25,1.98,1.70,6.00,0.44
1.65,2.32,2.63,0.25,1.99,1.72,6.00,0.44
1.65,2.34,2.65,0.25,2.02,1.72,6.00,0.44
1.65,2.33,2.66,0.25,2.02,1.72,6.01,0.44
1.66,2.34,2.68,0.25,2.04,1.73,6.06,0.44
1.66,2.35,2.67,0.25,2.02,1.73,6.04,0.44
1.66,2.35,2.67,0.26,2.02,1.75,6.05,0.44
1.67,2.38,2.71,0.26,2.04,1.77,6.10,0.45
1.67,2.41,2.73,0.27,2.04,1.77,6.12,0.45
1.72,2.47,2.80,0.27,2.13,1.81,6.27,0.46
1.72,2.49,2.82,0.27,2.14,1.82,6.29,0.46
1.70,2.45,2.78,0.27,2.12,1.80,6.21,0.45
1.68,2.40,2.74,0.26,2.09,1.77,6.14,0.45
1.68,2.40,2.74,0.26,2.10,1.77,6.15,0.45
1.67,2.41,2.75,0.27,2.13,1.76,6.14,0.45
1.70,2.41,2.77,0.27,2.18,1.78,6.22,0.45
1.71,2.44,2.79,0.27,2.20,1.78,6.25,0.45
1.72,2.44,2.80,0.27,2.21,1.77,6.28,0.46
1.74,2.46,2.83,0.27,2.26,1.77,6.35,0.46
1.75,2.50,2.87,0.27,2.29,1.77,6.40,0.47
1.77,2.53,2.90,0.27,2.38,1.78,6.50,0.47
1.75,2.51,2.84,0.27,2.41,1.78,6.42,0.47
1.78,2.52,2.87,0.27,2.40,1.79,6.51,0.47
1.78,2.54,2.90,0.27,2.32,1.81,6.53,0.48
1.77,2.53,2.89,0.27,2.24,1.79,6.50,0.47
1.78,2.56,2.91,0.28,2.28,1.81,6.53,0.47
1.77,2.56,2.91,0.28,2.25,1.81,6.50,0.47
1.78,2.56,2.93,0.28,2.24,1.80,6.52,0.47
1.79,2.56,2.96,0.28,2.27,1.81,6.57,0.48
1.79,2.58,2.95,0.28,2.28,1.82,6.57,0.48
1.78,2.58,2.95,0.28,2.26,1.81,6.55,0.48
1.78,2.57,2.93,0.28,2.25,1.80,6.53,0.47
